Age,Gender,Location_Type,Income_Level,Awareness_of_Mental_Health,Stigma_Level,Perception_of_Therapy,Need_for_Services,Common_Issue,Service_Type,Average_Cost_Per_Session,Affordability_Perception,Platform_Used,User_Satisfaction_Rating,Corporate_Wellness_Program,Government_Initiative_Awareness,NGO_Initiative_Participation,Projected_Market_Growth
28,Male,Semi-Urban,Middle,1,Moderate,Negative,1,Depression,Online,1500,Affordable,BetterHelp,5,0,0,1,3.932468962
59,Female,Semi-Urban,Middle,1,Low,Neutral,1,Depression,In-Person,1500,Affordable,No Platform Used,2,0,0,0,9.616355637
33,Male,Urban,High,1,Low,Neutral,1,Depression,Online,2000,Expensive,BetterHelp,1,0,1,0,6.581240009
49,Male,Urban,Middle,1,Moderate,Positive,1,Depression,In-Person,2000,Expensive,Wysa,2,1,0,0,4.503221322
34,Male,Urban,Middle,0,Moderate,Positive,1,Stress,Online,500,Expensive,Wysa,4,0,1,0,5.226090163
25,Male,Semi-Urban,Middle,0,Moderate,Neutral,0,Depression,In-Person,2000,Expensive,Wysa,1,0,1,1,5.945795709
53,Male,Semi-Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,1000,Expensive,YourDost,4,0,0,0,6.89268468
60,Female,Urban,Low,1,High,Neutral,1,Stress,Online,750,Affordable,YourDost,5,1,0,0,3.178606613
19,Male,Urban,High,1,Moderate,Neutral,1,Depression,Online,500,Affordable,BetterHelp,1,1,0,0,7.702653379
32,Male,Urban,Middle,1,High,Neutral,1,Anxiety,Online,500,Expensive,YourDost,3,0,1,0,9.8667584
24,Female,Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,750,Affordable,Wysa,2,0,1,1,8.182667303
55,Female,Urban,High,0,Moderate,Positive,1,Stress,Online,500,Affordable,YourDost,1,0,1,0,6.150738944
28,Female,Semi-Urban,Low,0,Moderate,Negative,1,Other,In-Person,2000,Affordable,YourDost,5,0,1,0,10.19672788
42,Female,Urban,Middle,1,High,Positive,1,Anxiety,Online,750,Affordable,BetterHelp,5,0,1,0,6.904163149
54,Male,Urban,Middle,0,Moderate,Neutral,0,Anxiety,In-Person,2000,Affordable,Wysa,2,0,0,0,8.895480468
41,Female,Urban,Middle,1,Moderate,Neutral,0,Anxiety,In-Person,2000,Affordable,YourDost,2,0,1,0,9.879143328
51,Female,Urban,Low,1,High,Positive,1,Depression,Online,1000,Expensive,Wysa,5,1,0,0,4.235232304
41,Male,Urban,High,1,High,Neutral,1,Depression,In-Person,1000,Affordable,No Platform Used,5,0,1,0,5.538444396
36,Female,Urban,Low,1,Low,Negative,1,Stress,Online,1500,Affordable,No Platform Used,4,1,0,1,7.097375322
37,Male,Urban,Middle,1,High,Neutral,1,Stress,Online,1000,Affordable,No Platform Used,4,0,1,0,5.489166874
23,Male,Urban,Middle,1,High,Positive,0,Anxiety,Online,1500,Expensive,Wysa,5,0,0,0,10.67834763
53,Male,Urban,Middle,0,Low,Neutral,0,Other,Online,1500,Expensive,Wysa,5,0,1,0,9.765918542
53,Male,Rural,Middle,1,Moderate,Negative,1,Depression,Online,750,Affordable,Wysa,3,1,0,1,7.331566059
45,Other,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,750,Affordable,No Platform Used,2,0,1,0,5.106963091
21,Female,Urban,Middle,0,High,Positive,0,Stress,Online,1000,Expensive,YourDost,3,1,1,0,4.68199657
19,Male,Urban,Middle,1,High,Neutral,0,Stress,Online,2000,Affordable,Talkspace,4,0,1,1,7.153533255
59,Male,Semi-Urban,Low,1,Moderate,Positive,1,Stress,Online,2000,Expensive,YourDost,2,0,0,0,6.818416576
39,Male,Urban,Low,0,Moderate,Neutral,1,Anxiety,Online,500,Expensive,Wysa,5,0,1,0,4.619624107
42,Male,Rural,Low,1,Moderate,Positive,1,Depression,In-Person,1000,Expensive,Talkspace,3,0,0,0,8.687419793
26,Female,Urban,Low,0,Moderate,Negative,1,Stress,Online,2000,Expensive,No Platform Used,3,0,1,0,6.316686821
46,Female,Semi-Urban,Middle,1,High,Positive,1,Depression,In-Person,2000,Affordable,No Platform Used,2,0,1,0,6.611613599
31,Male,Semi-Urban,Middle,1,Moderate,Negative,0,Anxiety,In-Person,2000,Expensive,No Platform Used,1,0,1,0,10.870537
62,Female,Urban,High,1,Low,Neutral,1,Depression,Online,1000,Expensive,No Platform Used,2,0,1,1,3.279770015
62,Female,Urban,Middle,1,High,Positive,1,Stress,In-Person,1500,Affordable,Wysa,3,0,1,1,4.976549415
39,Other,Urban,Low,1,Low,Neutral,1,Anxiety,Online,1500,Affordable,No Platform Used,1,0,1,1,6.233944719
52,Male,Semi-Urban,Middle,1,High,Positive,1,Depression,Online,1500,Affordable,Talkspace,3,0,1,0,11.94281925
53,Male,Semi-Urban,Middle,1,Moderate,Neutral,1,Stress,In-Person,750,Affordable,Talkspace,2,0,0,1,6.160908073
29,Male,Urban,Low,0,Low,Negative,1,Stress,Online,1000,Affordable,Wysa,3,0,0,0,10.42385294
20,Female,Semi-Urban,Low,1,High,Positive,1,Stress,In-Person,2000,Affordable,Talkspace,5,0,1,0,9.53053013
21,Female,Urban,Low,0,Moderate,Negative,0,Depression,Online,500,Affordable,No Platform Used,5,0,0,1,8.479493237
49,Male,Urban,Middle,0,Moderate,Positive,0,Depression,Online,2000,Affordable,No Platform Used,1,0,0,0,6.592615443
35,Male,Urban,Middle,0,Low,Positive,1,Anxiety,Online,2000,Affordable,YourDost,2,1,1,1,7.488557262
26,Male,Urban,Middle,1,Low,Positive,0,Other,Online,500,Expensive,Wysa,5,0,0,0,4.554796232
26,Male,Urban,Middle,1,High,Negative,0,Anxiety,Online,750,Affordable,Wysa,1,0,0,0,7.524503546
46,Female,Semi-Urban,Middle,0,High,Neutral,0,Anxiety,Online,2000,Affordable,No Platform Used,2,0,0,0,6.875652137
25,Female,Urban,Low,1,Moderate,Positive,0,Anxiety,In-Person,1000,Expensive,Wysa,2,0,0,1,4.437979767
36,Male,Semi-Urban,High,1,Low,Positive,1,Other,In-Person,1500,Expensive,Talkspace,3,0,1,1,6.050273548
24,Female,Urban,High,1,High,Neutral,1,Stress,Online,750,Affordable,No Platform Used,4,1,0,1,3.917807845
29,Female,Rural,Low,1,Moderate,Positive,0,Depression,In-Person,1500,Expensive,Talkspace,1,1,1,0,2.91999552
22,Male,Urban,Low,0,High,Neutral,0,Stress,Online,500,Affordable,Wysa,4,0,0,1,6.834249912
48,Female,Urban,Middle,1,Moderate,Positive,1,Stress,Online,750,Expensive,No Platform Used,4,1,1,0,9.733260636
43,Male,Semi-Urban,Low,1,Low,Positive,1,Depression,Online,750,Expensive,YourDost,1,0,0,0,5.751708652
32,Female,Urban,Low,1,Moderate,Positive,0,Anxiety,Online,1500,Affordable,Wysa,2,1,0,0,7.284079737
28,Female,Rural,Low,1,High,Positive,1,Depression,In-Person,750,Affordable,BetterHelp,4,0,0,0,7.831937854
59,Female,Semi-Urban,Middle,0,Low,Positive,1,Stress,Online,1500,Expensive,Wysa,2,0,1,0,5.369904997
31,Female,Semi-Urban,Low,1,Low,Positive,1,Other,In-Person,1000,Affordable,YourDost,4,1,1,1,7.309226716
36,Male,Rural,Low,1,Moderate,Positive,1,Anxiety,In-Person,750,Expensive,Talkspace,4,0,0,1,10.50063334
55,Female,Urban,Middle,1,High,Positive,0,Anxiety,Online,2000,Expensive,BetterHelp,1,0,0,0,9.189950418
42,Other,Urban,Middle,1,Low,Positive,1,Depression,Online,1500,Expensive,Talkspace,1,1,1,0,4.240316441
54,Female,Semi-Urban,Middle,1,High,Positive,1,Anxiety,In-Person,750,Expensive,No Platform Used,1,0,1,1,5.096348908
21,Female,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,2000,Affordable,No Platform Used,4,1,1,0,6.113432822
58,Female,Urban,High,0,Moderate,Positive,1,Stress,In-Person,1500,Affordable,YourDost,2,0,0,0,9.309477573
38,Male,Urban,Low,1,Moderate,Positive,0,Anxiety,Online,2000,Expensive,Talkspace,3,0,0,1,8.32791657
60,Male,Semi-Urban,Middle,0,Moderate,Negative,1,Depression,Online,1500,Affordable,No Platform Used,1,0,1,0,3.617825098
20,Other,Urban,Middle,0,High,Neutral,1,Depression,In-Person,1000,Expensive,Talkspace,3,0,1,1,6.452425415
30,Male,Semi-Urban,Low,0,Moderate,Positive,1,Stress,Online,750,Affordable,No Platform Used,5,1,1,0,7.019260988
63,Female,Semi-Urban,Middle,1,High,Positive,0,Depression,In-Person,2000,Expensive,YourDost,2,0,1,0,6.240573501
41,Female,Semi-Urban,Middle,1,High,Positive,1,Depression,In-Person,500,Expensive,No Platform Used,3,0,1,0,6.066951307
29,Female,Rural,Low,1,Low,Neutral,0,Stress,Online,500,Expensive,BetterHelp,2,0,1,1,5.552786402
60,Female,Semi-Urban,Low,0,High,Positive,0,Anxiety,Online,1500,Expensive,YourDost,2,0,1,0,6.054603307
28,Male,Rural,Middle,0,Low,Negative,0,Stress,Online,750,Affordable,YourDost,3,0,1,0,7.974916315
31,Male,Semi-Urban,Middle,0,Moderate,Neutral,0,Anxiety,Online,2000,Affordable,YourDost,2,0,0,1,5.788780904
43,Female,Rural,Low,1,Moderate,Positive,1,Stress,Online,500,Expensive,No Platform Used,2,0,0,0,5.948782745
51,Female,Urban,Middle,1,Moderate,Neutral,1,Anxiety,In-Person,2000,Expensive,No Platform Used,5,1,0,0,11.42881338
56,Female,Urban,Middle,1,Moderate,Negative,1,Anxiety,In-Person,1000,Affordable,YourDost,2,1,0,0,8.1633311
53,Male,Rural,Low,1,High,Neutral,0,Anxiety,In-Person,1500,Affordable,No Platform Used,4,0,1,0,6.780151658
54,Female,Urban,Low,0,High,Positive,1,Stress,Online,2000,Affordable,Talkspace,3,1,0,0,8.262010901
56,Male,Urban,Low,0,High,Neutral,1,Stress,Online,750,Affordable,BetterHelp,4,0,0,0,7.383442052
58,Female,Urban,Low,1,Moderate,Neutral,0,Anxiety,In-Person,1500,Expensive,BetterHelp,1,0,0,0,8.381931682
41,Female,Semi-Urban,Low,1,High,Neutral,1,Depression,Online,750,Expensive,YourDost,1,0,1,0,3.682907364
23,Other,Semi-Urban,Low,0,Moderate,Positive,0,Anxiety,Online,1000,Expensive,Wysa,5,1,0,0,8.145705375
29,Male,Urban,Middle,1,High,Positive,0,Depression,Online,750,Expensive,No Platform Used,1,0,0,1,6.172280067
32,Male,Semi-Urban,Middle,1,Low,Positive,1,Other,Online,1000,Expensive,BetterHelp,2,0,0,0,7.200190066
63,Male,Urban,High,1,Moderate,Positive,1,Anxiety,Online,1500,Affordable,YourDost,5,0,1,0,6.826610891
43,Male,Urban,Low,1,Moderate,Positive,0,Anxiety,Online,2000,Expensive,Talkspace,4,0,0,1,4.490754722
41,Male,Semi-Urban,High,1,Moderate,Neutral,0,Stress,Online,1000,Affordable,Talkspace,5,0,0,0,6.227471816
62,Male,Urban,Low,0,High,Positive,0,Anxiety,In-Person,500,Expensive,No Platform Used,2,0,0,0,6.935321618
49,Female,Rural,Low,1,High,Positive,0,Depression,In-Person,500,Affordable,No Platform Used,1,0,0,0,7.662219175
50,Male,Semi-Urban,High,1,Moderate,Positive,1,Depression,Online,2000,Affordable,No Platform Used,4,0,0,0,8.927650679
59,Male,Urban,Middle,1,High,Neutral,0,Anxiety,Online,2000,Affordable,No Platform Used,1,0,1,1,9.269513199
35,Female,Urban,Middle,0,Moderate,Positive,0,Other,Online,500,Expensive,No Platform Used,2,1,1,1,7.210220861
35,Male,Urban,Middle,0,Low,Positive,1,Anxiety,Online,750,Affordable,Wysa,4,0,0,1,8.708905813
62,Female,Rural,Middle,1,Moderate,Positive,0,Stress,In-Person,1000,Expensive,YourDost,2,0,1,1,7.718045972
20,Male,Urban,Low,1,Moderate,Positive,1,Anxiety,In-Person,1000,Expensive,YourDost,1,0,0,0,6.121202136
22,Female,Semi-Urban,Low,1,Moderate,Neutral,0,Other,In-Person,750,Affordable,No Platform Used,5,1,0,1,5.4008813
34,Male,Rural,Middle,0,High,Positive,1,Stress,Online,2000,Affordable,YourDost,5,1,0,0,7.015027758
53,Female,Rural,Low,1,Moderate,Positive,1,Stress,In-Person,750,Expensive,No Platform Used,4,0,0,0,6.709730007
52,Female,Urban,Low,1,Low,Neutral,0,Anxiety,Online,500,Expensive,No Platform Used,4,0,1,1,6.660466376
44,Male,Urban,Middle,1,High,Positive,1,Stress,Online,1500,Expensive,No Platform Used,3,0,0,1,2.312332262
55,Female,Rural,High,1,High,Positive,1,Other,Online,750,Expensive,YourDost,3,0,0,1,3.880097906
45,Female,Rural,Low,0,Moderate,Neutral,1,Stress,Online,750,Expensive,No Platform Used,4,0,0,0,4.725869682
24,Male,Semi-Urban,Middle,0,Moderate,Neutral,1,Anxiety,Online,1000,Expensive,No Platform Used,5,0,0,0,8.567102955
58,Male,Semi-Urban,Middle,1,Moderate,Neutral,0,Depression,Online,1000,Expensive,Wysa,3,0,1,0,10.56588831
60,Female,Semi-Urban,Low,1,Moderate,Positive,1,Stress,In-Person,1500,Affordable,YourDost,4,0,1,1,9.458277589
53,Male,Rural,Middle,1,Moderate,Positive,1,Anxiety,Online,750,Expensive,YourDost,2,0,0,1,6.467302736
33,Female,Rural,Low,0,Low,Positive,0,Other,Online,750,Affordable,Wysa,2,0,1,0,7.781951648
53,Female,Semi-Urban,High,1,Moderate,Positive,1,Anxiety,Online,2000,Expensive,No Platform Used,4,0,0,0,6.361828412
59,Male,Urban,Low,1,Low,Neutral,0,Stress,Online,1500,Expensive,Talkspace,5,1,0,0,6.830178366
30,Female,Urban,Middle,1,High,Positive,0,Anxiety,In-Person,2000,Expensive,No Platform Used,2,1,0,0,5.817327183
42,Female,Semi-Urban,Middle,1,Moderate,Neutral,1,Depression,Online,500,Expensive,No Platform Used,5,0,1,0,10.4003831
60,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Other,In-Person,1500,Expensive,No Platform Used,4,1,0,0,8.246860432
52,Male,Semi-Urban,High,0,High,Neutral,1,Anxiety,Online,1000,Expensive,No Platform Used,5,1,1,0,5.820802411
25,Male,Semi-Urban,Middle,1,High,Positive,1,Anxiety,Online,1000,Expensive,YourDost,4,0,1,0,8.743102543
18,Male,Semi-Urban,Middle,1,High,Neutral,1,Anxiety,In-Person,1500,Affordable,YourDost,5,0,0,0,5.501810838
22,Male,Urban,Middle,0,Low,Neutral,0,Anxiety,Online,2000,Affordable,BetterHelp,2,1,0,0,8.536085599
61,Female,Semi-Urban,Low,1,Moderate,Positive,0,Depression,Online,750,Expensive,Wysa,4,0,1,0,7.787028541
37,Female,Rural,High,1,High,Neutral,1,Stress,Online,750,Affordable,No Platform Used,3,1,0,0,6.92468479
51,Female,Semi-Urban,Middle,0,Moderate,Positive,0,Anxiety,Online,1000,Affordable,BetterHelp,2,0,1,0,7.648082578
50,Male,Urban,Low,1,Moderate,Neutral,1,Depression,Online,750,Affordable,Wysa,2,0,1,0,5.605841659
22,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Stress,In-Person,1500,Expensive,YourDost,5,1,0,0,6.682010996
46,Other,Semi-Urban,Middle,1,Moderate,Positive,1,Stress,Online,1500,Expensive,Talkspace,4,1,1,0,9.376988011
63,Female,Urban,Middle,1,High,Negative,1,Anxiety,In-Person,1000,Affordable,No Platform Used,2,0,1,0,9.946668433
40,Female,Semi-Urban,Low,1,Moderate,Neutral,0,Anxiety,Online,2000,Affordable,No Platform Used,2,0,0,1,5.759194506
55,Male,Semi-Urban,Low,0,High,Neutral,0,Other,Online,2000,Expensive,YourDost,2,0,0,0,10.03794293
21,Female,Rural,High,1,High,Neutral,1,Anxiety,Online,1000,Expensive,Wysa,2,0,1,1,6.469244295
56,Female,Rural,Middle,0,Moderate,Positive,1,Stress,Online,500,Affordable,Wysa,5,1,0,0,5.412638039
29,Female,Semi-Urban,Middle,0,High,Positive,1,Anxiety,Online,1500,Affordable,No Platform Used,5,0,0,0,4.215813886
40,Male,Rural,Low,0,Moderate,Positive,1,Anxiety,Online,500,Expensive,Wysa,4,0,0,1,5.022768909
39,Male,Urban,High,0,Moderate,Positive,1,Other,In-Person,2000,Affordable,No Platform Used,4,0,0,0,10.17648846
33,Male,Urban,High,1,High,Positive,1,Stress,Online,500,Affordable,BetterHelp,5,1,0,0,7.138954693
63,Male,Rural,Low,0,Moderate,Neutral,1,Anxiety,In-Person,750,Affordable,No Platform Used,2,0,0,0,7.348843788
18,Male,Urban,Middle,1,Low,Positive,1,Anxiety,Online,1000,Expensive,Wysa,4,0,0,0,10.82184267
43,Male,Rural,Middle,0,Moderate,Negative,1,Stress,In-Person,2000,Affordable,BetterHelp,4,0,0,0,5.638964751
23,Female,Semi-Urban,Low,1,Low,Neutral,0,Stress,In-Person,1500,Expensive,BetterHelp,2,1,1,0,4.262313441
55,Male,Rural,Middle,1,Moderate,Positive,1,Depression,Online,2000,Affordable,No Platform Used,5,1,1,0,4.21784936
51,Female,Urban,Low,1,Moderate,Positive,1,Anxiety,In-Person,500,Affordable,No Platform Used,1,0,0,1,5.838962668
34,Female,Rural,Middle,1,High,Negative,0,Anxiety,Online,2000,Affordable,Talkspace,1,0,0,0,3.722141578
59,Female,Urban,Middle,1,Moderate,Positive,0,Depression,Online,1000,Affordable,No Platform Used,5,0,0,0,6.554382338
24,Male,Urban,Low,1,Moderate,Positive,1,Anxiety,Online,500,Expensive,YourDost,3,0,0,1,6.890510723
22,Male,Rural,Low,1,Low,Positive,0,Anxiety,Online,1500,Affordable,No Platform Used,5,0,1,0,5.779793999
62,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Stress,Online,500,Expensive,Talkspace,5,1,0,0,7.785910879
47,Male,Urban,Low,0,High,Neutral,1,Stress,In-Person,1500,Expensive,YourDost,2,1,0,0,8.551337074
36,Female,Urban,Middle,1,Moderate,Neutral,1,Depression,Online,1500,Affordable,Talkspace,5,0,1,1,8.15078753
31,Female,Urban,Low,1,High,Positive,1,Anxiety,Online,1500,Expensive,Wysa,4,0,0,0,8.870010796
43,Other,Semi-Urban,Middle,1,Moderate,Neutral,1,Anxiety,Online,1000,Expensive,Wysa,3,0,0,1,6.160144531
43,Female,Urban,High,1,Moderate,Positive,0,Depression,Online,2000,Affordable,No Platform Used,4,0,1,0,7.325768188
32,Other,Urban,Middle,1,Low,Positive,1,Depression,Online,1000,Affordable,Talkspace,5,1,1,1,10.26565716
21,Male,Urban,Middle,1,Moderate,Positive,1,Depression,Online,1000,Expensive,BetterHelp,4,0,0,0,7.714855472
54,Male,Rural,Middle,0,High,Neutral,1,Stress,Online,500,Affordable,No Platform Used,2,0,0,1,7.191574341
48,Female,Semi-Urban,Middle,1,Low,Positive,0,Other,Online,1500,Expensive,YourDost,2,0,0,0,7.111019113
63,Female,Urban,Middle,1,High,Positive,1,Stress,Online,1500,Expensive,Wysa,5,0,1,0,7.715190771
47,Female,Semi-Urban,Low,1,Low,Positive,1,Other,In-Person,1500,Expensive,No Platform Used,3,0,0,1,5.819675119
25,Male,Rural,High,0,High,Positive,1,Stress,In-Person,500,Affordable,Wysa,2,0,0,0,7.338710694
36,Male,Semi-Urban,Middle,1,Low,Positive,0,Anxiety,Online,500,Affordable,Wysa,2,0,0,0,8.119085992
58,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Stress,Online,2000,Expensive,Wysa,4,0,0,0,7.257867627
26,Other,Urban,Low,0,Moderate,Positive,1,Anxiety,Online,2000,Expensive,YourDost,2,0,1,0,8.445996131
29,Female,Urban,Low,1,High,Positive,1,Other,Online,2000,Affordable,Talkspace,2,0,0,1,7.606002318
41,Male,Urban,High,1,Moderate,Negative,1,Anxiety,Online,1000,Affordable,No Platform Used,2,0,0,0,5.188450591
45,Female,Urban,Middle,0,Moderate,Positive,0,Stress,Online,750,Expensive,Talkspace,2,0,1,0,6.391162303
45,Male,Urban,Low,1,Moderate,Negative,1,Depression,Online,1500,Affordable,Talkspace,3,0,1,0,7.231309997
61,Male,Urban,Middle,0,High,Positive,0,Other,In-Person,500,Expensive,Wysa,5,1,1,0,9.193327043
57,Female,Semi-Urban,Low,1,Low,Positive,1,Depression,Online,1000,Expensive,No Platform Used,3,0,1,1,7.91288819
24,Male,Urban,Middle,1,Moderate,Positive,0,Other,Online,500,Affordable,No Platform Used,5,0,0,0,3.913440463
30,Female,Semi-Urban,Middle,1,Moderate,Negative,1,Anxiety,Online,1500,Expensive,Wysa,3,1,1,1,7.995678229
18,Male,Urban,Low,0,Moderate,Neutral,1,Anxiety,Online,500,Affordable,BetterHelp,4,1,1,1,7.308394093
54,Male,Rural,Middle,1,Moderate,Positive,1,Depression,Online,500,Affordable,Wysa,5,0,0,1,10.61852275
42,Male,Urban,Low,0,High,Positive,0,Depression,Online,500,Expensive,Talkspace,2,0,1,0,9.505233508
37,Female,Rural,Middle,1,Moderate,Neutral,1,Anxiety,Online,2000,Expensive,Talkspace,2,0,1,1,3.514067773
22,Male,Rural,Low,0,Moderate,Neutral,1,Anxiety,In-Person,2000,Expensive,No Platform Used,3,0,0,0,4.634582729
18,Male,Urban,Middle,1,Low,Neutral,0,Anxiety,Online,1500,Expensive,BetterHelp,3,0,0,0,4.862994139
28,Other,Urban,Middle,1,Moderate,Positive,0,Anxiety,In-Person,750,Affordable,Wysa,1,1,0,0,9.295968638
55,Male,Semi-Urban,Low,1,Moderate,Positive,0,Anxiety,Online,2000,Affordable,Talkspace,2,0,1,0,5.780228006
61,Male,Semi-Urban,Middle,1,Low,Positive,1,Other,Online,1000,Expensive,Talkspace,5,1,0,1,7.714826441
54,Female,Urban,Middle,1,Low,Neutral,0,Stress,In-Person,750,Affordable,No Platform Used,4,0,0,0,8.163189343
25,Female,Semi-Urban,Low,1,Moderate,Neutral,0,Depression,In-Person,2000,Affordable,YourDost,4,0,0,0,8.269558175
25,Female,Urban,High,1,High,Positive,0,Depression,Online,1000,Expensive,BetterHelp,1,0,0,0,7.553263553
19,Female,Semi-Urban,Low,1,Moderate,Positive,1,Stress,In-Person,1000,Affordable,No Platform Used,4,0,0,0,6.530249029
56,Female,Urban,Low,1,Moderate,Positive,1,Anxiety,Online,750,Expensive,No Platform Used,3,1,0,0,4.537066473
20,Male,Rural,Low,1,Moderate,Positive,1,Stress,Online,500,Affordable,Talkspace,2,0,1,0,8.949674699
57,Male,Semi-Urban,Middle,1,Moderate,Neutral,0,Anxiety,Online,500,Expensive,YourDost,1,0,0,0,9.441963551
47,Female,Urban,Low,1,Moderate,Positive,0,Stress,In-Person,2000,Affordable,Talkspace,4,0,0,1,8.354290334
50,Female,Urban,Low,0,Low,Negative,0,Depression,In-Person,750,Affordable,YourDost,5,0,0,1,7.86459782
40,Female,Urban,High,1,Low,Positive,0,Stress,Online,750,Expensive,BetterHelp,4,0,1,0,6.951981484
61,Female,Rural,High,1,Moderate,Positive,1,Anxiety,In-Person,1500,Affordable,Talkspace,2,0,0,0,7.225944965
20,Female,Urban,Middle,1,Low,Positive,1,Stress,Online,2000,Expensive,Wysa,2,1,0,0,5.218348358
54,Female,Semi-Urban,Low,1,High,Positive,0,Stress,Online,750,Expensive,No Platform Used,4,0,0,1,8.007895141
41,Female,Urban,Middle,0,High,Positive,1,Stress,Online,750,Expensive,BetterHelp,2,0,0,0,5.17498189
51,Female,Urban,High,0,Moderate,Positive,0,Stress,Online,2000,Affordable,BetterHelp,5,1,0,0,6.215275562
29,Male,Semi-Urban,Low,1,Moderate,Positive,1,Stress,Online,1000,Expensive,Wysa,5,0,1,1,4.309130823
36,Female,Semi-Urban,High,1,Moderate,Positive,0,Depression,Online,1000,Expensive,BetterHelp,2,1,1,0,5.258120736
53,Male,Semi-Urban,Middle,0,High,Neutral,0,Anxiety,In-Person,750,Affordable,YourDost,3,1,0,1,11.08652972
46,Male,Rural,Low,1,High,Positive,0,Anxiety,Online,2000,Affordable,BetterHelp,4,0,0,1,7.518825764
42,Male,Rural,Low,1,Moderate,Neutral,0,Anxiety,In-Person,1500,Expensive,YourDost,2,1,0,0,3.91006543
29,Female,Rural,Middle,1,Moderate,Neutral,0,Depression,Online,500,Affordable,No Platform Used,1,1,0,0,9.52785017
58,Female,Semi-Urban,Middle,1,Moderate,Positive,1,Depression,In-Person,750,Affordable,No Platform Used,2,0,1,0,3.887128142
38,Male,Urban,Middle,1,High,Positive,1,Other,Online,1500,Affordable,No Platform Used,5,1,0,1,6.913923552
42,Female,Rural,Middle,1,High,Neutral,0,Stress,Online,1500,Affordable,No Platform Used,4,0,0,0,8.162861141
25,Other,Semi-Urban,High,1,Moderate,Positive,1,Stress,Online,1500,Expensive,Wysa,3,0,0,0,2.697013597
37,Male,Urban,Middle,0,Moderate,Positive,1,Anxiety,Online,1000,Affordable,YourDost,3,1,1,0,8.37399995
37,Female,Semi-Urban,Middle,1,High,Positive,1,Depression,Online,2000,Affordable,Talkspace,4,0,1,0,5.494829001
38,Female,Rural,Middle,1,Moderate,Positive,1,Depression,Online,2000,Expensive,Talkspace,2,0,0,0,8.786344829
33,Female,Urban,Middle,0,High,Positive,0,Depression,Online,1000,Expensive,No Platform Used,1,1,0,0,8.034077981
36,Female,Rural,Middle,0,Moderate,Neutral,0,Stress,Online,1000,Expensive,YourDost,5,0,0,0,8.272765663
57,Other,Semi-Urban,High,1,Moderate,Negative,1,Stress,In-Person,500,Affordable,No Platform Used,5,0,0,0,7.504578689
38,Male,Rural,Middle,1,Moderate,Positive,0,Stress,Online,500,Expensive,YourDost,3,0,0,0,6.453148165
58,Male,Semi-Urban,Low,1,Low,Neutral,1,Anxiety,Online,500,Expensive,Talkspace,2,0,0,0,5.861865338
31,Male,Urban,Middle,1,High,Neutral,1,Stress,Online,1500,Expensive,No Platform Used,2,0,1,0,5.516566807
34,Female,Semi-Urban,Middle,0,Low,Positive,0,Depression,Online,1000,Affordable,BetterHelp,4,0,0,1,6.828266973
57,Male,Urban,Middle,1,Moderate,Positive,0,Anxiety,In-Person,2000,Expensive,Wysa,4,1,1,0,6.328447984
30,Male,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,1500,Affordable,No Platform Used,2,0,0,0,9.269561423
29,Male,Urban,Low,1,Low,Positive,1,Depression,Online,750,Expensive,BetterHelp,1,0,0,0,5.64855046
60,Female,Semi-Urban,Low,0,Moderate,Neutral,0,Depression,Online,1000,Expensive,YourDost,1,0,1,0,11.47414047
45,Other,Urban,Low,1,Moderate,Positive,1,Other,In-Person,1500,Expensive,BetterHelp,4,1,0,0,6.974702407
59,Male,Urban,High,0,High,Neutral,1,Anxiety,Online,500,Expensive,YourDost,3,1,0,0,8.436033574
39,Other,Urban,Middle,0,Moderate,Positive,1,Depression,Online,1500,Expensive,Talkspace,5,0,0,0,10.05966309
40,Male,Urban,Low,1,Low,Positive,0,Stress,Online,500,Expensive,Wysa,1,1,1,0,8.01179539
62,Male,Rural,Middle,0,Moderate,Positive,0,Anxiety,Online,1000,Affordable,No Platform Used,4,1,1,1,9.064694217
56,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,1500,Affordable,No Platform Used,4,0,0,1,6.120506109
23,Male,Semi-Urban,Middle,1,Low,Neutral,0,Stress,Online,500,Expensive,No Platform Used,1,0,1,0,10.59794135
62,Male,Urban,Low,1,High,Negative,1,Stress,In-Person,2000,Affordable,Wysa,2,0,0,1,8.142778463
46,Female,Semi-Urban,Middle,1,Moderate,Positive,1,Other,Online,750,Affordable,No Platform Used,5,1,1,1,5.161184066
21,Female,Urban,Low,1,Moderate,Positive,1,Stress,Online,1000,Expensive,BetterHelp,1,1,1,0,6.204069599
30,Male,Rural,Middle,1,Low,Positive,1,Anxiety,Online,500,Affordable,Wysa,1,0,0,0,6.077902862
54,Female,Urban,Low,0,Moderate,Positive,0,Stress,Online,750,Affordable,BetterHelp,3,1,1,0,9.92402985
